"Url","Count","Sources"
"https://img.youtube.com/vi/lYvPIHaV4O0/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/ChlT_2r96R4/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/ZqHuz3kBS-4/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/z0h8iw7-pfc/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/yHO54z55JkA/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/s3SfINGk5Bw/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/ElQf1fTFPCw/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/DXZWVrGW3DI/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/Oe5m4qBXJYQ/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/ptIFWQ_cJIQ/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/ftKaRv5WUmk/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/Gab0IJ_-8tQ/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/-GIBgYF63ko/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/dcKOKETcrK4/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/_iRggg9Y_UQ/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/vcEzTp2HEF4/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/0b8vw2bJ6g8/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/iElZRUtCE14/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/dg9FUWQShk0/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/ugvAoQFZCf8/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/f47-76tui34/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://img.youtube.com/vi/Hp1yBFQ4e2o/maxresdefault.jpg","4","assets/js/about.js; assets/js/course-landing.js; assets/js/courses.js; assets/js/index.js"
"https://grainy-gradients.vercel.app/noise.svg","2","assets/css/about.css"
