"Path","Format","Bytes","KB","Width","Height","Megapixels","HasAlpha","Hash"
"assets/Eduooz-app/Exam-1.jpg","jpg","107162","104.7","375","881","0.33","False","105F851316C9E7F89A0B352F92B7F3DBAB0227C59A6C69F0B59191CB262C53BA"
"assets/Eduooz-app/Practice-1.jpg","jpg","94873","92.6","375","812","0.3","False","C22176BE97DADF2AECECF6CCA088EF751BAFE7B49D297CDA44B11D33689A5FEF"
"assets/images/1.png","png","89259","87.2","287","196","0.06","True","AA326F00BEE1BA33D5979E69C241D65D0289166CCE98C1BCCB8CCF71DB900393"
"assets/images/3.png","png","88481","86.4","291","202","0.06","True","29E7EF4DBF58675A3B5D6FD421D33221D22EBE0188E24E028AFBEFF96CD204C7"
"assets/Eduooz-app/Practice-3.jpg","jpg","87123","85.1","375","812","0.3","False","AA7122015008F8B6CCEB7B06CCE1D69EE65F54B80B07F439279EDA2807C595C6"
"assets/Eduooz-app/Practice-4.jpg","jpg","83945","82","375","812","0.3","False","083D0169064EF9C6A4EB52C9E296E35DE6D9BD34854386709DB96D7B26928F32"
"assets/Eduooz-app/Daily Task.jpg","jpg","76423","74.6","375","812","0.3","False","4DA68F01DB2E989D19F57825FA13FAF238467B8C92AF1481230E2255BCE91BFE"
"assets/Eduooz-app/Practice-2.jpg","jpg","73270","71.6","375","812","0.3","False","4B6494EB621A650C4C61FCD5D9440C8B86F0459898AC810068AF265332891D57"
"assets/Eduooz-app/Syllabus.jpg","jpg","69143","67.5","375","981","0.37","False","9D2238A8294574E31872FE6B10E8F3DCD7AFEC821AA2C85711136DD5B94DBBAA"
"assets/images/Mentors/APARNA.jpeg","jpeg","43404","42.4","682","883","0.6","False","4499551F6543834AA428C292370B2207A1DF8D5E995C8454517AEBF1D98C6F68"
"assets/images/Eduooz-App/eduooz-app-image (8).jpeg","jpeg","40710","39.8","601","656","0.39","False","11ED89D1F32174118EBC8FCD64C5D333395BFDF53F04D027DD29D9C8C0515072"
"assets/Eduooz-app/Splash Screen.png","png","32150","31.4","375","812","0.3","True","5491D35D0AF43FEDC7D6FCC53F9864A8191DAF8A5767C6636CAF7B508441231C"
