"Source","Line","Kind","Raw","External","Resolved","Exists","CaseExact"
"404.html","7","attr","assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
"404.html","7","string","assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
"about.html","6","attr","assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
"about.html","6","string","assets/images/eduooz-log.png","False","assets/images/eduooz-log.png","True","True"
"about.html","183","attr","/assets/images/about-the-origin.png","False","assets/images/about-the-origin.png","True","True"
"about.html","183","string","/assets/images/about-the-origin.png","False","assets/images/about-the-origin.png","True","True"
"about.html","221","attr","/assets/images/MENTORS-FINAL.png","False","assets/images/MENTORS-FINAL.png","True","True"
"about.html","221","string","/assets/images/MENTORS-FINAL.png","False","assets/images/MENTORS-FINAL.png","True","True"
"about.html","259","attr","/assets/images/DIGITAL-ECOSYSTEM.png","False","assets/images/DIGITAL-ECOSYSTEM.png","True","True"
"about.html","259","string","/assets/images/DIGITAL-ECOSYSTEM.png","False","assets/images/DIGITAL-ECOSYSTEM.png","True","True"
"about.html","316","attr","/assets/images/mission.png","False","assets/images/mission.png","True","False"
"about.html","316","string","/assets/images/mission.png","False","assets/images/mission.png","True","False"
"about.html","327","attr","/assets/images/infrastructure.png","False","assets/images/infrastructure.png","True","True"
"about.html","327","string","/assets/images/infrastructure.png","False","assets/images/infrastructure.png","True","True"
"about.html","389","attr","/assets/images/Nursing.png","False","assets/images/Nursing.png","True","True"
"about.html","389","string","/assets/images/Nursing.png","False","assets/images/Nursing.png","True","True"
"about.html","425","attr","/assets/images/pharmacy-image.png","False","assets/images/pharmacy-image.png","True","True"
"about.html","425","string","/assets/images/pharmacy-image.png","False","assets/images/pharmacy-image.png","True","True"
"about.html","454","attr","/assets/images/mlt-banner.png","False","assets/images/mlt-banner.png","True","True"
"about.html","454","string","/assets/images/mlt-banner.png","False","assets/images/mlt-banner.png","True","True"
"about.html","487","attr","/assets/images/Academy.png","False","assets/images/Academy.png","True","True"
"about.html","487","string","/assets/images/Academy.png","False","assets/images/Academy.png","True","True"
"about.html","562","attr","/assets/images/Diagnosis.png","False","assets/images/Diagnosis.png","True","True"
"about.html","562","string","/assets/images/Diagnosis.png","False","assets/images/Diagnosis.png","True","True"
"about.html","604","attr","/assets/images/Prescription.png","False","assets/images/Prescription.png","True","True"
